,date,meanCumstatpoints,cumStatpoints
date,2017-10-30,51.89959016393443,66.11226721761113
date,2017-10-31,53.243781094527364,66.32953780518318
date,2017-11-01,50.22185430463576,66.44953105134192
date,2017-11-02,53.775956284153004,66.65389954001822
date,2017-11-03,47.02307692307692,66.92907931774756
date,2017-11-04,52.3575,67.14162889281839
date,2017-11-05,55.074074074074076,67.33472976832405
date,2017-11-06,52.34126984126984,67.52523593616733
date,2017-11-07,52.65896980461812,67.67294725603914
date,2017-11-08,57.03351955307262,67.86760755008697
date,2017-11-09,52.866359447004605,68.03246179480962
date,2017-11-10,53.78604651162791,68.21829748886061
date,2017-11-11,56.25991792065663,68.36383912339438
date,2017-11-12,51.44736842105263,68.52685289010579
date,2017-11-13,59.18487394957983,68.79623656425534
date,2017-11-14,53.216161616161614,68.98770364297454
date,2017-11-15,55.637362637362635,69.23276170106377
date,2017-11-16,55.1265306122449,69.41354064153514
date,2017-11-17,60.108333333333334,69.49871533464184
date,2017-11-18,56.80641025641026,69.69944170930589
date,2017-11-19,56.0,69.85811680191865
date,2017-11-20,56.28932584269663,70.04604053747585
date,2017-11-21,53.85245901639344,70.284682002514
date,2017-11-22,55.639219934994586,70.46236347597012
date,2017-11-24,57.60492379835873,70.64972419916339
date,2017-11-25,56.397014925373135,70.79464830385241
date,2017-11-26,59.74603174603175,71.01588127296074
date,2017-11-27,52.07260726072607,71.2366761569817
date,2017-11-28,58.52302631578947,71.40096346874553
date,2017-11-29,54.78813559322034,71.55057695124421
date,2017-11-30,56.95662100456621,71.7531718003523
date,2017-12-01,58.33197556008147,71.95566079488853
date,2017-12-02,58.43496503496503,72.14344581440159
date,2017-12-03,54.969348659003835,72.29474882201016
date,2017-12-04,60.25,72.53779782001666
date,2017-12-05,57.79440789473684,72.74793275366808
date,2017-12-06,60.78600823045267,72.88558882333548
date,2017-12-07,59.51247600767754,73.09692788038964
date,2017-12-08,57.66875,73.31470408435564
date,2017-12-09,60.00824175824176,73.51891913276333
date,2017-12-10,59.46694214876033,73.67058256075948
date,2017-12-11,58.997206703910614,73.79256967836278
date,2017-12-12,59.76524953789279,73.95916914530315
date,2017-12-13,64.00813008130082,74.14613798383006
date,2017-12-14,58.504950495049506,74.29662021133245
date,2017-12-15,61.80808080808081,74.53282551269355
date,2017-12-16,62.048048048048045,74.67303938095276
date,2017-12-17,60.83665338645418,74.86183660000853
date,2017-12-18,55.61347517730496,75.10401609491542
date,2017-12-19,62.67619047619048,75.38203219276154
date,2017-12-20,63.04347826086956,75.54651409588121
date,2017-12-21,61.38030560271647,75.72951019528625
date,2017-12-22,60.8155737704918,75.89516291436858
date,2017-12-23,61.8046614872364,76.03335371904579
date,2017-12-27,62.74183976261128,76.18637865999283
date,2017-12-28,60.90070921985816,76.40714092065625
date,2017-12-29,62.833078101071976,76.58927697608142
date,2017-12-30,63.821621621621624,76.73744327268963
date,2017-12-31,59.873684210526314,76.9359940405441
date,2018-01-01,71.32835820895522,77.1440190711982
date,2018-01-02,61.8921568627451,77.31189585363921
date,2018-01-03,67.94117647058823,77.48611681681203
date,2018-01-04,63.054794520547944,77.64522271925294
date,2018-01-05,64.57741935483871,77.90449348595311
date,2018-01-06,65.02037037037037,78.10151373566458
date,2018-01-07,62.14453781512605,78.29125354093513
date,2018-01-08,62.0188679245283,78.47533606806111
