,Name,ARIMA,Name,DeepAR
120,Travis Konecny,136.0424602468744,Kevin Hayes,226.14120399951932
121,Andre Burakovsky,135.61615824958017,Thomas Vanek,224.95280122756958
122,Matt Niskanen,134.59291644721137,Brent Seabrook,223.7014331817627
123,Jake Guentzel,133.55626753506286,Boone Jenner,223.56620800495148
124,Matt Dumba,133.1145101562043,James Neal,222.19617319107056
125,Jacob Trouba,133.06921240664153,Chris Kreider,219.46573829650882
126,Clayton Keller,132.40476086208616,P.K. Subban,219.05904412269592
127,Michael Frolik,131.53488372092875,Evander Kane,216.63355910778046
128,Marc-Edouard Vlasic,130.45944919546244,David Perron,215.8335475921631
129,Brent Seabrook,129.19808805846117,Alexander Wennberg,215.7413341999054
130,Aaron Ekblad,129.10526392473926,Tyler Bozak,214.75633585453036
131,Calle Jarnkrok,128.77292521722015,Craig Smith,213.90976285934448
132,Justin Abdelkader,128.66781714129255,Jason Pominville,213.8657853603364
133,Zach Werenski,128.1948051948048,Jordan Staal,213.810879945755
134,Colin White,127.21091245717456,Jonathan Marchessault,213.5159833431244
135,Cam Fowler,126.16744186046498,Jake Muzzin,212.28100347518918
136,Anthony Mantha,126.00922689491027,Corey Perry,212.14947295188904
137,Mike Green,125.0697462439874,Jake Gardiner,211.74092674255368
138,Dmitry Orlov,123.69134211777975,Dustin Byfuglien,207.46140813827515
139,Mattias Ekholm,122.1639302537751,Kris Letang,207.0633611679077
140,Jean-Gabriel Pageau,121.99170124359462,Vladislav Namestnikov,206.9750185012817
141,Paul Byron,119.9999910145176,James van Riemsdyk,206.76856994628903
142,Jeff Petry,119.2641415332007,Carl Soderberg,206.51945567131042
143,Alec Martinez,119.15254211254478,Bryan Little,205.7949414253235
144,Brock Boeser,118.68165910979911,Nick Foligno,205.51614475250244
145,Joonas Donskoi,118.26732398458944,TJ Brodie,204.67439246177673
146,Brandon Dubinsky,115.64053559726307,Alex Goligoski,204.45850133895874
147,Zdeno Chara,114.5246529828693,Colton Parayko,203.3071805238724
148,Jaccob Slavin,114.24010708675245,Artem Anisimov,200.37386655807492
149,Sam Bennett,114.19811557021471,Mikkel Boedker,199.94711291790009
150,Adam Lowry,113.47547526512606,Mathieu Perreault,199.71590340137482
151,Zack Smith,112.25332880951957,Jeff Carter,198.16931247711184
152,Bryan Rust,109.97144460842352,Travis Zajac,197.61943423748016
153,Andreas Athanasiou,109.77777750076638,Paul Stastny,197.2058687210083
154,Jesper Fast,109.54837991035663,Viktor Arvidsson,197.2019437551498
155,Radek Faksa,109.12314568343739,Andrew Cogliano,195.40670537948608
156,Josh Manson,108.7182576646337,Ryan Nugent-Hopkins,194.85937213897702
157,Timo Meier,108.48347671673339,Mattias Ekholm,194.06855297088626
158,Tom Wilson,107.22169239858775,Tomas Hertl,193.78496563434604
159,Hampus Lindholm,107.0560747663555,Valtteri Filppula,189.89946842193604
160,Ivan Provorov,106.2147156431088,Brendan Gallagher,189.64350521564484
161,Sven Baertschi,104.65608465608449,Pat Maroon,187.09463596343997
162,Connor Brown,103.76470588235136,Dmitry Orlov,186.302280664444
163,Alex DeBrincat,103.62962646746715,Kyle Turris,185.2554484605789
164,Damon Severson,103.45374413312749,Ryan McDonagh,183.79196798801425
165,Zach Hyman,103.35195504189068,Victor Rask,183.66504645347595
166,Anthony Beauvillier,103.14062199405116,Kevin Shattenkirk,179.19488406181338
167,Tyler Myers,100.93821461547458,Justin Faulk,179.06496775150296
168,Oliver Bjorkstrand,100.47058754549506,Ryan Kesler,178.42521357536316
169,Evan Rodrigues,99.51549609107428,Bobby Ryan,178.10546672344205
170,Erik Johnson,97.97406827688287,Lars Eller,177.05585062503815
171,Josh Anderson,97.75202402583636,Matt Niskanen,176.76338171958923
172,Pavel Buchnevich,97.58632457655776,Jared Spurgeon,176.15854704380038
173,Kevin Labanc,97.55724925806777,Ryan Spooner,175.49863386154175
174,Alexander Edler,97.22222222222194,Aaron Ekblad,174.23773849010468
175,Darren Helm,96.45771032855698,David Backes,171.4437198638916
176,Casey Cizikas,96.29702970296987,Chris Tierney,170.05825161933902
177,Nico Hischier,96.2962962962954,Calle Jarnkrok,168.07085824012756
178,Oscar Klefbom,96.18048963715937,Loui Eriksson,167.30140101909637
179,Nolan Patrick,96.15613866427121,Tobias Rieder,165.82948398590085
180,Mattias Janmark,95.82352840954464,Mitchell Marner,165.46637725830078
181,Pierre-Luc Dubois,95.01484272500471,Ondrej Palat,165.30467212200162
182,Brady Skjei,93.71428571428561,Brandon Dubinsky,165.3012759685516
183,Niklas Kronwall,92.20100502512236,Noah Hanifin,164.43805027008057
184,Andrew Copp,91.3410929954128,Ryan Strome,163.9843280315399
185,Justin Braun,91.33195017789905,Sam Bennett,162.4643450975418
186,Johnny Boychuk,90.92227979274594,Leo Komarov,161.1314935684204
187,Danton Heinen,90.08333156769439,Marc-Edouard Vlasic,161.13083314895633
188,Michael Raffl,86.03213045911767,Blake Comeau,161.05759191513064
189,Alexander Kerfoot,84.99999877667267,Zach Parise,160.36488962173462
190,Melker Karlsson,84.07613278118434,Michael Frolik,160.10219335556033
191,Will Butcher,83.9749926534,Sebastian Aho,159.75662964582443
192,Jake DeBrusk,83.40576691347727,Jaden Schwartz,159.11717128753662
193,Jimmy Vesey,83.1962025316459,William Nylander,159.0778384208679
194,Robby Fabbri,83.0491797822433,Alec Martinez,158.27846384048462
195,Andrej Sekera,81.88349525799188,Nick Bonino,155.6795461177826
196,Cody Ceci,81.52340368515368,Justin Abdelkader,155.16436028480533
197,Cal Clutterbuck,81.29786859551429,Troy Brouwer,154.74269008636475
198,Brandon Sutter,79.8198730318961,Mikko Rantanen,154.31392377614975
199,Anton Stralman,79.31298934018443,Jaccob Slavin,154.08866643905642
200,Trevor Lewis,78.92712646881066,Jean-Gabriel Pageau,152.20564663410184
201,Christian Dvorak,78.87186771380125,Patrik Laine,151.48750770092008
202,Nick Ritchie,78.13513513513539,Chris Kunitz,150.0344853401184
203,Artturi Lehkonen,78.11594189417347,Zack Smith,149.6995711326599
204,Adrian Kempe,77.37376194149223,Matt Cullen,149.2354291677475
205,Thomas Hickey,75.2330078171052,Ryan Ellis,148.37003111839294
206,Brock McGinn,74.17994688247494,Jeff Petry,147.67188119888306
207,Jonas Brodin,74.045165381158,Paul Byron,146.77522826194763
208,Brett Pesce,73.67440823580645,Damon Severson,146.3943147659302
209,Luke Glendening,72.88788893456123,Dion Phaneuf,144.5907278060913
210,Pavel Zacha,72.50359052405977,Alexander Radulov,143.94121992588043
211,Zack Kassian,72.4308510638283,Matt Dumba,143.8281396627426
212,Radko Gudas,72.24999839824261,Marcus Johansson,143.61221557855606
213,David Savard,71.98580753419186,Zdeno Chara,143.24031829833984
214,Miles Wood,71.34274908879001,Cam Fowler,142.23633766174316
215,Olli Maatta,71.2561576354679,Andre Burakovsky,142.18052423000333
216,Markus Nutivaara,71.01252668355696,Micheal Ferland,142.08437299728394
217,Brenden Dillon,70.41920269033994,Jonathan Drouin,141.2393589019775
218,Ryan Pulock,69.59035909154537,Auston Matthews,139.8400462269783
219,Esa Lindell,68.08055039903493,Tom Wilson,137.20358371734622
220,Ondrej Kase,66.47457455984153,Mike Green,136.94425809383392
221,Darnell Nurse,66.44329845045013,Carl Hagelin,135.7293462753296
222,Ryan Callahan,65.89808822283806,Cody Eakin,135.3353601694107
223,Zemgus Girgensons,65.56604858936011,Jordan Martinook,133.9643409252167
224,Christian Fischer,65.23529017759245,Joonas Donskoi,133.66666734218595
225,Brian Dumoulin,65.12254209953545,Shea Weber,133.26289319992063
226,Scott Laughton,64.79625124782177,Michael Grabner,132.95220732688904
227,Brad Richardson,64.36676707280455,Andrew Ladd,131.88168811798096
228,Brandon Tanev,64.0104097270258,Riley Sheahan,130.92943596839905
229,Mike Matheson,63.95052258038501,Conor Sheary,130.78774118423462
230,Josh Morrissey,62.65030654590404,Nick Bjugstad,130.23034667968747
231,Johan Larsson,62.38094694029111,Brayden Point,129.03789031505585
232,Ryan Murray,62.22702265760523,Hampus Lindholm,128.59082579612732
233,Jakub Vrana,62.09675831330462,Marcus Foligno,128.3717532157898
234,Colton Sissons,61.313949852315936,Erik Haula,127.69217896461487
235,Erik Gustafsson,60.54665007373825,Brett Connolly,126.73280334472656
236,Andrew MacDonald,60.307225133726874,Jesper Fast,126.5669469833374
