,gameNumber,predictions,low,high,name
24,25,72.23672497272491,67.02228331565857,77.27376091480255,Derek Ryan
25,26,72.30792987346649,66.60019052028656,77.20985341072083,Derek Ryan
26,27,72.32665038108826,66.57385039329529,77.343923330307,Derek Ryan
27,28,72.7609623670578,66.98749589920044,78.10922122001648,Derek Ryan
28,29,72.71128952503204,66.17587375640869,77.89416599273682,Derek Ryan
29,30,72.80992126464844,65.44322144985199,77.88750040531158,Derek Ryan
30,31,72.8429901599884,65.58892297744751,77.62663269042969,Derek Ryan
31,32,73.04787957668304,65.61116898059845,78.03078210353851,Derek Ryan
32,33,73.00917494297028,65.12840986251831,78.06412899494171,Derek Ryan
33,34,73.17142355442047,65.21494245529175,78.97493886947632,Derek Ryan
34,35,73.19444036483765,65.477952003479,78.52943754196167,Derek Ryan
35,36,73.3154571056366,66.1056797504425,79.31938862800598,Derek Ryan
36,37,73.17172682285309,65.95844292640686,79.45647859573364,Derek Ryan
37,38,73.22805893421173,65.49767076969147,79.55360662937164,Derek Ryan
38,39,73.21635782718658,65.7199854850769,79.2695894241333,Derek Ryan
39,40,73.32579350471497,65.32309556007385,79.05994248390198,Derek Ryan
40,41,73.3208464384079,64.7739143371582,79.07993292808533,Derek Ryan
41,42,73.44425141811371,65.16187047958374,79.05436992645264,Derek Ryan
42,43,73.4431141614914,65.19551432132721,79.20589673519135,Derek Ryan
43,44,73.52694261074066,65.70691335201263,79.04369235038757,Derek Ryan
44,45,73.6554399728775,66.24663639068604,79.08041942119598,Derek Ryan
45,46,73.63109636306763,66.33837509155273,79.4612740278244,Derek Ryan
46,47,73.63406586647034,66.0671204328537,80.37498390674591,Derek Ryan
47,48,73.78154277801514,65.72442710399628,80.88480341434479,Derek Ryan
48,49,74.03678107261658,65.6120092868805,80.19165182113647,Derek Ryan
49,50,74.18740439414978,65.89337289333344,81.78827166557312,Derek Ryan
50,51,74.32427322864532,66.22174310684204,81.70673036575317,Derek Ryan
51,52,74.28299081325531,66.23679912090302,81.12410116195679,Derek Ryan
52,53,74.19359612464905,66.30594432353973,81.20453679561615,Derek Ryan
53,54,74.36372971534729,66.88984978199005,81.62712872028351,Derek Ryan
54,55,74.47800505161285,66.7708169221878,81.29920077323914,Derek Ryan
55,56,74.52937114238739,66.9323136806488,81.88713717460632,Derek Ryan
56,57,74.70699167251587,67.29110550880432,81.5832748413086,Derek Ryan
57,58,74.88402462005615,67.60493779182434,82.96547758579254,Derek Ryan
58,59,74.97323608398438,67.60886764526367,83.15396523475647,Derek Ryan
59,60,74.93573820590973,67.34826529026031,82.83206474781036,Derek Ryan
60,61,75.06132292747498,67.8480453491211,83.14760291576385,Derek Ryan
61,62,75.21667850017548,68.15100419521332,82.97899198532104,Derek Ryan
62,63,75.22407698631287,67.800994515419,82.8192263841629,Derek Ryan
63,64,75.23176610469818,67.30044364929199,83.3636943101883,Derek Ryan
64,65,75.29538297653198,67.23805248737335,83.44576001167297,Derek Ryan
65,66,75.37562906742096,67.18700861930847,83.30741906166077,Derek Ryan
66,67,75.43069124221802,67.08488297462463,82.77877795696259,Derek Ryan
67,68,75.56969559192657,67.19133651256561,82.99636673927307,Derek Ryan
68,69,75.55213129520416,67.47677528858185,83.33660864830017,Derek Ryan
69,70,75.58910477161407,67.4189647436142,83.42975628376007,Derek Ryan
